,no_nickel,topology,no_corners_comb,no_edges_comb,all_comb,all_corners_comb,all_edges_comb,c_atom,mass_center
182,10,"['Ni', 'Cu', 'Cu', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Cu', 'Ni', 'Ni', 'Ni']",7,14,91,"[[1, 4, 1, 'Cu'], [3, 2.1, 3, 'Ni'], [4, 3.1, 2, 'Ni'], [5, 4, 1, 'Ni'], [6, 3, 2, 'Ni'], [9, 5, 0, 'Cu'], [11, 5, 0, 'Ni']]","[[[1, 4, 1, 'Cu'], [2, 4, 1, 'Cu']], [[1, 4, 1, 'Cu'], [3, 2.1, 3, 'Ni']], [[1, 4, 1, 'Cu'], [4, 3.1, 2, 'Ni']], [[1, 4, 1, 'Cu'], [5, 4, 1, 'Ni']], [[1, 4, 1, 'Cu'], [6, 3, 2, 'Ni']], [[3, 2.1, 3, 'Ni'], [4, 3.1, 2, 'Ni']], [[3, 2.1, 3, 'Ni'], [9, 5, 0, 'Cu']], [[4, 3.1, 2, 'Ni'], [5, 4, 1, 'Ni']], [[4, 3.1, 2, 'Ni'], [9, 5, 0, 'Cu']], [[5, 4, 1, 'Ni'], [6, 3, 2, 'Ni']], [[5, 4, 1, 'Ni'], [10, 4, 1, 'Ni']], [[5, 4, 1, 'Ni'], [11, 5, 0, 'Ni']], [[6, 3, 2, 'Ni'], [11, 5, 0, 'Ni']], [[9, 5, 0, 'Cu'], [10, 4, 1, 'Ni']]]",1,0.02437
183,10,"['Ni', 'Cu', 'Cu', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Cu', 'Ni', 'Ni']",5,11,67,"[[1, 4, 1, 'Cu'], [3, 3, 2, 'Ni'], [4, 3.1, 2, 'Ni'], [7, 4, 1, 'Ni'], [10, 5, 0, 'Cu']]","[[[1, 4, 1, 'Cu'], [2, 4, 1, 'Cu']], [[1, 4, 1, 'Cu'], [3, 3, 2, 'Ni']], [[1, 4, 1, 'Cu'], [4, 3.1, 2, 'Ni']], [[2, 4, 1, 'Cu'], [7, 4, 1, 'Ni']], [[3, 3, 2, 'Ni'], [4, 3.1, 2, 'Ni']], [[3, 3, 2, 'Ni'], [8, 4, 1, 'Ni']], [[4, 3.1, 2, 'Ni'], [5, 3.1, 2, 'Ni']], [[4, 3.1, 2, 'Ni'], [9, 4, 1, 'Ni']], [[4, 3.1, 2, 'Ni'], [10, 5, 0, 'Cu']], [[7, 4, 1, 'Ni'], [8, 4, 1, 'Ni']], [[9, 4, 1, 'Ni'], [10, 5, 0, 'Cu']]]",1,0.02032
184,10,"['Ni', 'Cu', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Cu', 'Ni', 'Cu', 'Ni', 'Ni', 'Ni']",3,5,37,"[[1, 5, 0, 'Cu'], [2, 3.1, 2, 'Ni'], [5, 4, 1, 'Ni']]","[[[1, 5, 0, 'Cu'], [2, 3.1, 2, 'Ni']], [[1, 5, 0, 'Cu'], [5, 4, 1, 'Ni']], [[2, 3.1, 2, 'Ni'], [6, 3.1, 2, 'Ni']], [[4, 3.1, 2, 'Ni'], [5, 4, 1, 'Ni']], [[5, 4, 1, 'Ni'], [10, 4, 1, 'Ni']]]",1,0.03563
185,11,"['Cu', 'Cu', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni']",3,4,35,"[[1, 5, 0, 'Cu'], [2, 4, 1, 'Ni'], [7, 5, 0, 'Ni']]","[[[1, 5, 0, 'Cu'], [2, 4, 1, 'Ni']], [[2, 4, 1, 'Ni'], [7, 5, 0, 'Ni']], [[2, 4, 1, 'Ni'], [6, 4, 1, 'Ni']], [[7, 5, 0, 'Ni'], [8, 5, 0, 'Ni']]]",0,0.05502
186,11,"['Ni', 'Cu', 'Cu', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni']",4,8,52,"[[1, 4, 1, 'Cu'], [3, 3, 2, 'Ni'], [4, 4, 1, 'Ni'], [9, 5, 0, 'Ni']]","[[[1, 4, 1, 'Cu'], [2, 4, 1, 'Cu']], [[1, 4, 1, 'Cu'], [3, 3, 2, 'Ni']], [[1, 4, 1, 'Cu'], [4, 4, 1, 'Ni']], [[3, 3, 2, 'Ni'], [4, 4, 1, 'Ni']], [[3, 3, 2, 'Ni'], [9, 5, 0, 'Ni']], [[4, 4, 1, 'Ni'], [5, 4, 1, 'Ni']], [[4, 4, 1, 'Ni'], [9, 5, 0, 'Ni']], [[9, 5, 0, 'Ni'], [10, 5, 0, 'Ni']]]",1,0.04068
187,11,"['Ni', 'Cu', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Cu', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni']",4,7,50,"[[1, 5, 0, 'Cu'], [2, 3.1, 2, 'Ni'], [3, 4, 1, 'Ni'], [9, 5, 0, 'Ni']]","[[[1, 5, 0, 'Cu'], [2, 3.1, 2, 'Ni']], [[1, 5, 0, 'Cu'], [3, 4, 1, 'Ni']], [[2, 3.1, 2, 'Ni'], [6, 3.1, 2, 'Ni']], [[2, 3.1, 2, 'Ni'], [3, 4, 1, 'Ni']], [[3, 4, 1, 'Ni'], [4, 4, 1, 'Ni']], [[3, 4, 1, 'Ni'], [9, 5, 0, 'Ni']], [[9, 5, 0, 'Ni'], [10, 5, 0, 'Ni']]]",1,0.0484
188,11,"['Ni', 'Cu', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Cu']",2,2,22,"[[1, 5, 0, 'Cu'], [2, 4, 1, 'Ni']]","[[[1, 5, 0, 'Cu'], [2, 4, 1, 'Ni']], [[2, 4, 1, 'Ni'], [7, 4, 1, 'Ni']]]",1,0.05659
189,12,"['Cu', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni']",1,1,11,"[[1, 5, 0, 'Ni']]","[[[1, 5, 0, 'Ni'], [2, 5, 0, 'Ni']]]",0,0.03724
190,12,"['Ni', 'Cu', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni']",3,4,35,"[[1, 5, 0, 'Cu'], [2, 4, 1, 'Ni'], [7, 5, 0, 'Ni']]","[[[1, 5, 0, 'Cu'], [2, 4, 1, 'Ni']], [[2, 4, 1, 'Ni'], [7, 5, 0, 'Ni']], [[2, 4, 1, 'Ni'], [6, 4, 1, 'Ni']], [[7, 5, 0, 'Ni'], [8, 5, 0, 'Ni']]]",1,0.03104
191,13,"['Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni']",1,1,11,"[[1, 5, 0, 'Ni']]","[[[1, 5, 0, 'Ni'], [2, 5, 0, 'Ni']]]",1,0.01064
