,liczba Ni,centre_metal_Ni_=1 ,energia_zredukowana,energia,ni_path_ncentre,ni_path_centre,cu_with_centre,cu_path_ncentre,srodek_masy,0%Ni,8%Ni,16%Ni,25%Ni,33%Ni,41%Ni,50%Ni,usieciowanie,usieciowanie_cu
97,7,0,-0.021744816568046808,-49.922861,7,7,6,5,0.0663945085874792,0,0,5,3,4,0,0,22,22
130,7,1,-0.026952585798816004,-49.990562,7,7,6,6,0.05243532612463225,0,0,2,2,8,0,0,24,12
126,7,1,-0.030837431952662635,-50.041065,6,7,6,6,0.040021574196399776,0,0,1,5,5,1,0,24,12
105,7,0,-0.026958047337277965,-49.990633,7,7,6,5,0.049005743116166504,0,0,3,7,2,0,0,18,18
99,7,0,-0.0269923550295854,-49.991079,7,7,6,5,0.05065499925992185,0,1,4,2,5,0,0,20,20
109,7,0,0.0698396449704143,-48.732263,7,7,6,6,0.0963826213780372,0,0,5,3,4,0,0,16,16
112,7,1,-0.029178047337277548,-50.019493,6,7,6,6,0.0537100655805387,0,0,2,4,4,2,0,30,18
96,7,0,-0.021758662721892984,-49.923041,7,7,6,5,0.06919765589110731,0,1,3,5,2,1,0,24,24
122,7,1,-0.022707739644969888,-49.935379,6,7,6,6,0.012831542390575065,0,0,2,4,4,2,0,24,12
119,7,1,-0.024220816568047192,-49.955049,6,7,6,6,0.07848449240026742,0,0,1,5,5,1,0,26,14
131,7,1,-0.03091358579881606,-50.042055,7,7,6,6,0.04008326583441922,0,0,0,6,6,0,0,24,12
103,7,0,0.05982972189349148,-48.862392,7,7,6,6,0.040415473118222515,0,0,3,7,2,0,0,18,18
117,7,1,-0.022715970414200645,-49.935486,6,7,6,6,0.02087906412581195,0,0,0,8,2,2,0,26,14
128,7,1,0.05492764497041455,-48.926119,6,7,7,7,0.04906966900711592,0,0,0,6,6,0,0,24,12
155,8,1,-0.021716218934910853,-52.151269,7,8,5,5,0.02033010334916024,0,0,0,3,7,2,0,32,8
147,8,1,-0.019052834319526167,-52.116645,7,8,5,5,0.049454939514050965,0,0,0,5,3,4,0,36,12
150,8,1,-0.021767526627218543,-52.151936,7,8,5,5,0.02027799349783366,0,0,1,2,6,3,0,34,10
152,8,1,-0.02020783431952603,-52.13166,7,8,6,6,0.0678781837240145,0,0,0,4,6,1,1,32,8
136,8,0,-0.020947372781064972,-52.141274,8,8,5,5,0.040674879235797774,0,0,1,7,3,1,0,26,14
137,8,0,-0.02023168047337265,-52.13197,8,8,5,4,0.06648675478998697,0,0,2,4,6,0,0,26,14
153,8,1,0.05952178106508928,-51.095175,7,8,6,6,0.020924832766347934,0,0,0,3,7,2,0,32,8
159,8,1,0.0690072426035509,-50.971864,7,8,6,6,0.0812390412053375,0,0,0,5,3,4,0,30,6
141,8,0,-0.017429218934910735,-52.095538,8,8,5,5,0.097001251810502,0,0,1,7,3,1,0,24,12
158,8,1,0.06405955029585843,-51.036184,7,8,6,6,0.0367104735499483,0,0,1,3,5,2,1,30,6
135,8,0,-0.019180295857987827,-52.118302,8,8,5,4,0.05324975729086067,0,0,3,3,5,1,0,28,16
140,8,0,0.06900624260355069,-50.971877,8,8,5,5,0.06951186857837399,0,0,3,3,5,1,0,24,12
143,8,0,0.06239455029585847,-51.057829,8,8,6,6,0.03994920458161629,0,0,2,6,2,2,0,22,10
161,9,0,-0.014787236686390662,-54.289972,9,9,4,3,0.06996091165704581,0,0,1,3,6,2,0,34,10
168,9,1,-0.017527467455621514,-54.325595,8,9,4,4,0.040435185057575256,0,0,0,2,4,6,0,42,6
166,9,1,-0.017535775147929,-54.325703,8,9,4,4,0.040453710723708645,0,0,0,3,3,5,1,44,8
165,9,1,-0.014801467455621576,-54.290157,8,9,4,4,0.06707060874868047,0,0,0,2,6,2,2,46,10
167,9,1,-0.017732852071006278,-54.328265,8,9,5,5,0.021060006104631806,0,0,0,1,7,3,1,42,6
169,9,1,-0.017556313609467532,-54.32597,8,9,4,4,0.036947621311898944,0,0,1,0,6,4,1,42,6
173,9,1,-0.017812082840237053,-54.329295,8,9,5,5,0.013313061851845408,0,0,0,2,4,6,0,40,4
162,9,0,-0.015620775147929486,-54.300808,9,9,4,4,0.04020727437865515,0,0,1,3,6,2,0,32,8
180,10,1,-0.012614100591715801,-56.490501,9,10,3,3,0.04994190959364212,0,0,0,0,6,3,3,54,6
181,10,1,-0.012631639053254253,-56.490729,9,10,3,3,0.053789650759993854,0,0,0,1,3,6,2,52,4
177,10,0,-0.011824562130177386,-56.480237,10,10,3,2,0.06706379224098458,0,0,0,2,6,4,0,42,6
179,10,0,-0.014083177514792695,-56.509599,10,10,3,4,0.07763915154487638,0,0,0,0,10,2,0,40,4
185,11,0,-0.012188502958579761,-58.713748,11,11,2,1,0.055017613862668985,0,0,0,0,5,7,0,50,2
187,11,1,-0.01217519526627178,-58.713575,10,11,3,3,0.04840071977374098,0,0,0,0,2,6,4,60,0
189,12,0,-0.007197520710058952,-60.877645,12,12,1,0,0.03724347332348857,0,0,0,0,0,12,0,60,0
191,13,1,0.0,-63.012857,12,13,0,0,0.010644927986615996,0,0,0,0,0,0,12,84,0
